,id,language
963,36349461,English
964,36225599,French
965,423502,English
966,404717,English
967,52157,English
968,39811404,French
969,39666535,French
970,39599461,French
971,39492035,English
972,4687592,French
973,4658949,English
974,26275589,French
975,26175965,English
976,26128289,English
977,26079752,English
978,37548443,English
979,37528047,French
980,36997834,French
981,36973896,English
982,36824236,French
983,36758247,English
984,36584076,English
985,21172877,French
986,21116575,French
987,20242826,English
988,19815251,English
989,19796590,English
990,19187954,English
991,19016338,English
992,18969299,English
993,18582490,English
994,18482233,English
995,18443229,French
996,18279540,French
997,17932931,English
998,17425986,English
999,28365926,French
1000,28157922,English
1001,27649624,English
1002,27246413,French
1003,27186425,English
1004,27009938,English
1005,26526023,French
1006,24629477,English
1007,24590744,English
1008,24361858,English
1009,24120521,English
1010,23573159,French
1011,23260729,French
1012,22857395,Spanish
1013,22741096,French
1014,22531039,French
1015,22525509,French
1016,22466464,French
1017,22460683,English
1018,22324340,French
1019,22298645,French
1020,22243565,French
1021,21821176,English
1022,21763773,French
1023,30803353,English
1024,30789441,French
1025,30741647,English
1026,30702858,English
1027,14192808,French
1028,14160782,English
1029,6945069,English
1030,6877723,French
1031,6806655,French
1032,6754497,English
1033,6719655,English
1034,6585309,English
1035,25902117,French
1036,25647437,English
1037,25256786,English
1038,25245404,English
1039,25068692,French
1040,24937977,French
1041,7252895,French
1042,7214996,French
1043,7036529,English
1044,14908298,English
1045,32491308,French
1046,32400800,English
1047,31923350,English
1048,31616761,English
1049,31350358,French
1050,31223766,English
1051,36693326,French
1052,36583570,English
1053,31055620,English
1054,30748016,English
1055,30040124,English
1056,29956990,French
1057,29718299,French
1058,29526661,English
1059,29358672,English
1060,29317632,French
1061,29074617,French
1062,28936928,French
1063,28875639,French
1064,28665960,English
1065,28145090,English
1066,27381097,French
1067,27106295,French
1068,26977918,French
1069,26963806,English
1070,26793451,French
1071,26436551,English
1072,23917478,French
1073,23914888,French
1074,17166801,English
1075,16762309,French
1076,39171373,English
1077,37137767,English
1078,36913420,English
1079,36880476,English
1080,36833171,French
1081,36661807,English
1082,36547004,English
1083,36406574,French
1084,9870150,French
1085,1528304,French
1086,1491279,English
1087,1427969,English
1088,870226,English
1089,625035,English
1090,503376,English
1091,13739131,English
1092,13658271,French
1093,13657301,French
1094,13568933,English
1095,13557994,French
1096,13537177,English
1097,13292655,English
1098,13262518,English
1099,13200019,French
1100,12942089,French
1101,12644665,French
1102,12540936,French
1103,12339704,French
1104,12269812,English
1105,12125358,English
1106,11900429,French
1107,27046784,English
1108,11488354,French
1109,11253937,English
1110,10795658,English
1111,10654235,English
1112,10534837,English
1113,8631618,English
1114,8341874,French
1115,8273177,English
1116,8048304,English
1117,8019935,English
1118,7643357,English
1119,7556657,French
1120,7431448,French
1121,7410094,French
1122,7337135,French
1123,7239097,English
1124,7210603,English
1125,7168584,French
1126,7154500,English
1127,7088150,French
1128,13905494,French
1129,230115,English
1130,158027,English
1131,139889,English
1132,37650906,English
1133,37590353,English
1134,37309116,English
1135,34993548,English
1136,34695443,English
1137,18341049,English
1138,18135925,French
1139,18119977,English
1140,18017454,English
1141,17568198,English
1142,17336392,English
1143,16905683,French
1144,16305729,English
1145,15627678,English
1146,15444834,English
1147,35908097,French
1148,35874512,French
1149,35870242,English
1150,35807488,French
1151,35748390,French
1152,35731154,French
1153,17263581,French
1154,17119096,French
1155,16919962,English
1156,16804575,French
1157,16009915,French
1158,15947555,English
1159,15490334,English
1160,15462902,English
1161,15417532,English
1162,15260988,French
1163,15140469,English
1164,14971383,French
1165,14942621,English
1166,14379777,French
1167,30525697,English
1168,30361107,English
1169,29812995,English
1170,29147919,French
1171,28839080,English
1172,28824373,French
1173,35696986,French
1174,35419048,French
1175,35292502,English
1176,35179618,English
1177,35178782,French
1178,34917574,French
1179,34867144,English
1180,3236583,French
1181,3206897,English
1182,3185164,French
1183,2870518,English
1184,2617256,English
1185,2576959,English
1186,2475045,French
1187,2246665,French
1188,2229331,English
1189,1842276,English
1190,1313100,English
1191,1131167,French
1192,1022400,English
1193,34707434,French
1194,34662732,English
1195,34555066,English
1196,34532674,English
