,host_id,host_is_superhost
195,27923015,t
196,250973,f
197,77935550,f
198,32201584,f
199,165079552,f
200,43432797,f
201,258910668,f
202,73140729,f
203,75766880,f
204,80517582,f
205,80644461,f
206,75854523,f
207,81864409,f
208,78597121,f
209,77352104,f
210,3796984,f
211,36181988,f
212,85440022,f
213,82061809,f
214,83544325,f
215,80634127,f
216,41095181,f
217,39529972,f
218,2939856,f
219,16332482,f
220,10775648,f
221,139591314,f
222,145758894,f
223,12954563,f
224,136213914,f
225,172839011,f
226,188501947,t
227,10905458,t
228,186014327,f
229,74408837,f
230,5315308,t
231,57659122,f
232,13848902,f
233,94912411,f
234,200103213,f
235,205254157,t
236,207543167,f
237,2990536,f
238,17011884,f
239,229539689,f
240,27247766,f
241,231130171,f
242,267516806,f
243,61654733,f
244,302347830,f
245,47430711,f
246,87879020,f
247,51250272,f
248,23556416,f
249,303869607,f
250,40587769,f
251,125930402,f
252,14222749,f
253,23904381,f
254,69938021,f
255,17238708,f
256,3269212,f
257,27021067,f
258,276248209,f
259,191828733,f
260,34756427,f
261,26989749,f
262,2379928,f
263,6069249,t
264,14646424,f
265,3073166,t
266,34965177,f
267,29676836,f
268,18238182,f
269,14397234,f
270,30046914,f
271,129527192,f
272,28620557,f
273,97084820,f
274,85069787,f
275,14826987,f
276,12429095,f
277,67911679,f
278,5150143,f
279,38492624,f
280,13189047,f
281,152957,f
282,7209734,f
283,2510148,f
284,266922598,f
285,64763883,f
286,197020348,f
287,110356944,f
288,27380825,f
289,46780948,f
290,74263016,f
291,6953311,f
292,87594488,f
293,156158778,f
294,37985606,f
295,44196068,f
296,212008381,f
297,6944143,f
298,73739677,f
299,19978893,f
300,107219593,f
301,9470414,f
302,14783077,f
303,254541291,f
304,199384469,f
305,271052261,f
306,6966004,f
307,59066770,f
308,17862179,f
309,17360976,f
310,19125606,f
311,52806641,f
312,6729185,f
313,3073166,t
314,79983113,f
315,77958971,f
316,72887258,f
317,55887395,f
318,47466038,f
319,261729873,f
320,36268779,f
321,30040586,f
322,8898230,f
323,10234212,f
324,4741407,t
325,2534649,f
326,3616371,f
327,3174104,f
328,801317,f
329,2153932,f
330,2688817,f
331,2362921,t
332,307002551,f
333,306491371,f
334,276248209,f
335,245844815,f
336,12104801,f
337,1711544,t
338,177930115,f
339,88202191,f
340,4300390,f
341,17852537,t
342,98356363,f
343,196587373,f
344,13431045,f
345,26534874,f
346,19772956,t
347,17652848,f
348,9249477,f
349,13899579,f
350,6812417,f
351,8803567,f
352,3370940,f
353,2882764,f
354,144477989,f
355,7442101,f
356,777568,f
357,27643294,f
358,2107478,t
359,266237674,f
360,91642772,f
361,14621264,f
362,7040632,f
363,279769099,f
364,279128014,f
365,12104801,f
366,144229947,f
367,33047043,f
368,6655457,f
369,9139031,f
370,139463706,f
371,15826404,f
372,7642792,f
373,14245396,f
374,11253750,f
375,127795669,f
376,127308118,f
377,37458020,f
378,56974784,f
379,64034207,t
380,5108190,t
381,157932055,f
